,0,1
840,UGK,7
841,Big Time Rush,7
842,Big Time Rush,7
843,Grayson Reed,7
844,Young M.A.,7
845,The Chainsmokers,7
846,Soul For Real,7
847,Nickelback,7
848,Disclosure,7
849,*NSYNC,7
850,Rocko,7
851,*NSYNC,7
852,Peter Andre,7
853,Backstreet Boys,7
854,Fall Out Boy,7
855,Fall Out Boy,7
856,Danny Gokey,7
857,Jamie Grace,7
858,Star Slinger,7
859,The Black Keys,7
860,Nickelback,7
861,Flux Pavilion,7
862,Drake,7
863,Flo Rida,7
864,Katy Perry,7
865,FIDLAR,7
866,Pitbull,7
867,FIDLAR,7
868,Far East Movement,7
869,Gucci Mane,7
870,The Chainsmokers,7
871,We Kids Rock,7
872,WALK THE MOON,7
873,Ryan Stevenson,7
874,Owl City,7
875,Problem,7
876,WALK THE MOON,7
877,DJ Eleven,7
878,WALK THE MOON,7
879,Star Slinger,7
880,Major Lazer,7
881,Teams vs. Star Slinger,7
882,Das Racist,7
883,Panic! At The Disco,7
884,Cosculluela,7
885,Gary Clark Jr.,7
886,Del Amitri,7
887,Donny Osmond,7
888,Daddy Yankee,7
889,Machine Gun Kelly,7
890,Gnonnas Pédro,7
891,Nicky Jam,7
892,J Balvin,7
893,The Sonics,7
894,Sisyphus,7
895,The Kinks,7
896,Cherry Glazerr,7
897,Ozuna,7
898,Gavin DeGraw,7
899,Childish Gambino,7
900,Vader Abraham,7
901,Skye Sweetnam,7
902,Max Frost,7
903,Luis Fonsi,7
904,Professor Murder,7
905,Borgore,7
906,Geri Halliwell,7
907,Anuel Aa,7
908,Ty Segall,7
909,Josh Turner,7
910,Nicky Jam,7
911,Old Dominion,7
912,Ozuna,7
913,Carlos Vives,7
914,Kwabs,7
915,Canaan Smith,7
916,Russell Dickerson,7
917,Reik,7
918,Maluma,7
919,Jackie Lee,7
920,Hermitude,7
921,Bells Atlas,7
922,Demi Lovato,7
923,Major Lazer,7
924,Dan + Shay,7
925,India.Arie,7
926,Mandisa,8
927,CHVRCHES,8
928,Harry Styles,8
929,DJ Snake,8
930,Ibeyi,8
931,JP Cooper,8
932,Mac Demarco,8
933,Kim Walker-Smith,8
934,Martin Garrix,8
935,The Chainsmokers,8
936,Zach Williams,8
937,Alan Walker,8
938,SALTNPAPER,8
939,JAY Z,8
940,Matthew West,8
941,Switchfoot,8
942,Tenth Avenue North,8
943,Bryan Adams,8
944,The Chainsmokers,8
945,Cashmere Cat,8
946,M83,8
947,Natalie Grant,8
948,CHVRCHES,8
949,Jesus Culture,8
950,Hillsong Worship,8
951,Matt Redman,8
952,Kari Jobe,8
953,Beach House,8
954,Joshua Micah,8
955,Jamie xx,8
956,Sidewalk Prophets,8
957,A$AP Rocky,8
958,Young Thug,8
959,Elevation Worship,8
960,Beyond the Extraction,8
961,Steven Curtis Chapman,8
962,Wheeler Walker Jr.,8
963,Rae Sremmurd,8
964,2milly,8
965,Future,8
966,The Weeknd,8
967,Twin Shadow,8
968,Willow,8
969,Kelela,8
970,Blackbear,8
971,ILoveMakonnen,8
972,Bebe Rexha,8
973,Big K.R.I.T.,8
974,Cathedrals,8
975,Hillsong United,8
976,Passion,8
977,Hillsong United,8
978,Ryan Hurd,8
979,Jack Back,8
980,The Seshen,8
981,Trendsetter,8
982,Markus Maximus,8
983,Silk Rhodes,8
984,Shlohmo,8
985,Juicy J,8
986,Kilo Kish,8
987,Justice,8
988,Ariana Grande,8
989,San Holo,8
990,Ibeyi,8
991,Isaac Hayes,8
992,Problem,8
993,Bryson Tiller,8
994,Trendsetter,8
995,Future,8
996,Fetty Wap,8
997,Banks,8
998,Kid Cudi,8
999,The Chambers Brothers,8
1000,James Pants,8
1001,Sabrina Carpenter,8
1002,Purity Ring,8
1003,G-Eazy,8
1004,Owl City,8
1005,Janet Jackson,8
1006,K-Ci & JoJo,8
1007,Swedish House Mafia,8
1008,Still Young,8
1009,CHVRCHES,8
1010,ASTR,8
1011,Glass Candy,8
1012,Justice,8
1013,Beyoncé,8
1014,Alanis Morissette,8
1015,Demi Lovato,8
1016,Boyz II Men,8
1017,Skip Marley,8
1018,Big Time Rush,8
1019,Halsey,8
1020,Usher,8
1021,Kindness,8
1022,Jon McLaughlin,8
1023,M83,8
1024,Demi Lovato,8
1025,Travis Scott,8
1026,Emmit Fenn,8
1027,The Chainsmokers,8
1028,Charice,8
1029,The Weeknd,8
1030,Monica,8
1031,Hot Chip,8
1032,Felix Cartal,8
1033,Logic,8
1034,Khrebto,8
1035,Pete Wingfield,8
1036,Passion Pit,8
1037,Liz Phair,8
1038,Shabazz Palaces,8
1039,M83,8
1040,Backstreet Boys,8
1041,Hippie Sabotage,8
1042,Boyz II Men,8
1043,Autre Ne Veut,8
1044,Ben Pearce,8
1045,DubVision,8
1046,Arcade Fire,8
1047,The Killers,8
1048,Angel Olsen,8
1049,Chief Keef,8
1050,Adrian Lux,8
1051,David Guetta - Sébastian Ingrosso - Joachim Garraud - Chris Willis - Steve Angello,8
1052,DJ Rashad,8
1053,Phosphorescent,8
1054,Flume,8
1055,CHVRCHES,8
1056,DyoN Joo,8
1057,Martin Garrix,8
1058,Kanye West,8
1059,Jidenna,8
1060,Castro,8
1061,Autre Ne Veut,8
1062,Adventure Club,8
1063,FKA twigs,8
1064,Perfume Genius,8
1065,Neon Bunny,8
1066,Ace Hood,8
1067,Crystal Castles,8
1068,Swedish House Mafia,8
1069,PALGOU,8
1070,Autre Ne Veut,8
1071,Drake,8
1072,KAYTRANADA,8
1073,Hayden James,8
1074,Little Mix,8
1075,Rick Ross,8
1076,2 Chainz,8
1077,Xscape,8
1078,Hippie Sabotage,8
1079,Beyoncé,8
1080,Rick Ross,8
1081,Travis Scott,8
1082,Travis Scott,8
1083,Justice,8
1084,Miguel,8
1085,Killer Mike,8
1086,DJ Snake,8
1087,Azealia Banks,8
1088,Daydreamer,8
1089,The Cranberries,8
1090,Grizzly Bear,8
1091,The Beach Boys,8
1092,Kaleidoscope,8
1093,Jamaican Queens,8
